cntyname,State,PUMA10,PUMA00,Pop14
Alameda CA,CA,108,2408,144425.686
Alameda CA,CA,109,2409,202410.569
Alameda CA,CA,110,2410,215586.818
Alpine CA,CA,300,1800,1116
Amador CA,CA,300,1800,36742
Butte CA,CA,701,600,113536.276
Butte CA,CA,702,600,110704.724
Calaveras CA,CA,300,1800,44624
Colusa CA,CA,1100,500,21419
Contra Costa CA,CA,1301,2101,121585.429
Contra Costa CA,CA,1301,2102,9.535
Contra Costa CA,CA,1302,2101,16919.707
Contra Costa CA,CA,1302,2102,108800.567
Contra Costa CA,CA,1303,2102,18486.562
Contra Costa CA,CA,1303,2103,96604.734
Contra Costa CA,CA,1303,2106,22233.666
Contra Costa CA,CA,1304,2103,112.297
Contra Costa CA,CA,1304,2104,106051.42
Contra Costa CA,CA,1304,2105,18616.868
Contra Costa CA,CA,1305,2105,131985.576
Contra Costa CA,CA,1306,2103,13996.817
Contra Costa CA,CA,1306,2104,51687.156
Contra Costa CA,CA,1306,2106,53192.566
Contra Costa CA,CA,1307,2103,3475.897
Contra Costa CA,CA,1307,2106,43664.306
Contra Costa CA,CA,1307,2107,80490.172
Contra Costa CA,CA,1308,2106,18957.996
Contra Costa CA,CA,1308,2107,36145.731
Contra Costa CA,CA,1308,2108,58477.921
Contra Costa CA,CA,1309,2108,109844.078
Del Norte CA,CA,1500,100,27212
El Dorado CA,CA,1700,1700,183087
Fresno CA,CA,1901,3301,43.604
Fresno CA,CA,1901,3401,150205.868
Fresno CA,CA,1902,3302,155948.039
Fresno CA,CA,1902,3401,2502.012
Fresno CA,CA,1902,3402,21828.76
Fresno CA,CA,1903,3301,87450.002
Fresno CA,CA,1903,3402,18319.713
Fresno CA,CA,1904,3301,155046.899
Fresno CA,CA,1904,3401,15942.282
Fresno CA,CA,1904,3402,5646.658
Fresno CA,CA,1905,3301,97027.206
Fresno CA,CA,1905,3402,15279.924
Fresno CA,CA,1906,3301,1113.966
Fresno CA,CA,1906,3402,105446.841
Fresno CA,CA,1907,3402,134172.226
Glenn CA,CA,1100,500,27955
Humboldt CA,CA,2300,200,134809
Imperial CA,CA,2500,8200,179091
Inyo CA,CA,300,1800,18410
Kern CA,CA,2901,3800,10794.463
Kern CA,CA,2901,3901,160818.021
Kern CA,CA,2901,3903,26258.576
Kern CA,CA,2902,3800,180927.825
Kern CA,CA,2902,3903,27784.571
Kern CA,CA,2903,3800,91683.667
Kern CA,CA,2903,3903,69919.746
Kern CA,CA,2904,3800,60028.381
Kern CA,CA,2904,3902,21442.056
Kern CA,CA,2904,3903,30869.894
Kern CA,CA,2905,3800,148.954
Kern CA,CA,2905,3902,158587.88
Kern CA,CA,2905,3903,35307.258
Kern CA,CA,2905,6101,17.708
Kings CA,CA,3100,3600,150269
Lake CA,CA,3300,400,64184
Lassen CA,CA,1500,100,31749
Los Angeles CA,CA,3701,4406,2.061
Los Angeles CA,CA,3701,4500,4001.921
Los Angeles CA,CA,3701,4600,2244.126
Los Angeles CA,CA,3701,4700,12533.308
Los Angeles CA,CA,3701,6101,125264.045
Los Angeles CA,CA,3702,4700,157165.043
Los Angeles CA,CA,3702,6101,36647.87
Los Angeles CA,CA,3703,4500,155523.679
Los Angeles CA,CA,3703,6101,13076.308
Los Angeles CA,CA,3704,4500,1813.435
Los Angeles CA,CA,3704,4600,154303.732
Los Angeles CA,CA,3704,6101,13138.13
Los Angeles CA,CA,3705,5401,169084.256
Los Angeles CA,CA,3705,5402,1263.222
Los Angeles CA,CA,3705,6126,1652.699
Los Angeles CA,CA,3706,5401,71.095
Los Angeles CA,CA,3706,5402,139043.059
Los Angeles CA,CA,3706,5405,1441.475
Los Angeles CA,CA,3707,5403,128816.729
Los Angeles CA,CA,3707,5404,23.698
Los Angeles CA,CA,3707,5405,1133.397
Los Angeles CA,CA,3707,6101,1213.765
Los Angeles CA,CA,3707,6126,24362.879
Los Angeles CA,CA,3708,5403,480.148
Los Angeles CA,CA,3708,5404,140503.08
Los Angeles CA,CA,3708,6101,4.121
Los Angeles CA,CA,3709,4900,980.903
Los Angeles CA,CA,3709,5000,5020.948
Los Angeles CA,CA,3709,6101,4.121
Los Angeles CA,CA,3709,6102,107541.84
Los Angeles CA,CA,3710,5100,5.152
Los Angeles CA,CA,3710,6102,23536.53
Los Angeles CA,CA,3710,6105,155779.208
Los Angeles CA,CA,3711,5200,1393.048
Los Angeles CA,CA,3711,6101,11.334
Los Angeles CA,CA,3711,6106,167507.804
Los Angeles CA,CA,3711,6107,6.182
Los Angeles CA,CA,3712,5200,151142.585
Los Angeles CA,CA,3712,6106,212.254
Los Angeles CA,CA,3713,5200,552.273
Los Angeles CA,CA,3713,5800,14164.369
Los Angeles CA,CA,3713,6105,83.459
Los Angeles CA,CA,3713,6107,98195.438
Los Angeles CA,CA,3714,5200,554.334
Los Angeles CA,CA,3714,6108,111886.872
Los Angeles CA,CA,3715,5800,91635.131
Los Angeles CA,CA,3715,6105,5363.028
Los Angeles CA,CA,3715,6107,22477.319
Los Angeles CA,CA,3715,6109,4282.179
Los Angeles CA,CA,3716,5800,3662.932
Los Angeles CA,CA,3716,6105,5049.798
Los Angeles CA,CA,3716,6109,104988.606
Los Angeles CA,CA,3717,5000,30.911
Los Angeles CA,CA,3717,5100,1205.522
Los Angeles CA,CA,3717,6102,16648.569
Los Angeles CA,CA,3717,6104,176954.152
Los Angeles CA,CA,3718,5000,136357.939
Los Angeles CA,CA,3718,5416,9.273
Los Angeles CA,CA,3718,6102,760.406
Los Angeles CA,CA,3718,6103,5.152
Los Angeles CA,CA,3718,6104,2097.814
Los Angeles CA,CA,3719,4900,196582.523
Los Angeles CA,CA,3720,4800,106462.022
Los Angeles CA,CA,3720,4900,15.455
Los Angeles CA,CA,3720,5410,520.332
Los Angeles CA,CA,3720,5413,3555.775
Los Angeles CA,CA,3720,5416,11176.323
Los Angeles CA,CA,3721,5406,137504.73
Los Angeles CA,CA,3722,5407,163865.479
Los Angeles CA,CA,3722,5408,281.288
Los Angeles CA,CA,3723,5402,2558.386
Los Angeles CA,CA,3723,5403,2437.833
Los Angeles CA,CA,3723,5405,136377.516
Los Angeles CA,CA,3723,5408,4167.809
Los Angeles CA,CA,3724,5408,172399.957
Los Angeles CA,CA,3725,5401,10933.158
Los Angeles CA,CA,3725,5408,27.82
Los Angeles CA,CA,3725,5409,161817.122
Los Angeles CA,CA,3725,6126,805.742
Los Angeles CA,CA,3726,5401,6.182
Los Angeles CA,CA,3726,5409,2441.955
Los Angeles CA,CA,3726,5410,13901.627
Los Angeles CA,CA,3726,6126,88234.941
Los Angeles CA,CA,3727,5407,1324.014
Los Angeles CA,CA,3727,5410,154517.016
Los Angeles CA,CA,3727,6125,19.577
Los Angeles CA,CA,3728,5411,3823.669
Los Angeles CA,CA,3728,5420,9339.19
Los Angeles CA,CA,3728,6125,92460.45
Los Angeles CA,CA,3729,5411,201591.107
Los Angeles CA,CA,3729,5412,115.4
Los Angeles CA,CA,3730,5411,151.463
Los Angeles CA,CA,3730,5412,169212.021
Los Angeles CA,CA,3730,6125,3.091
Los Angeles CA,CA,3731,5410,496.634
Los Angeles CA,CA,3731,5411,32.972
Los Angeles CA,CA,3731,5413,40597.243
Los Angeles CA,CA,3731,6125,70563.224
Los Angeles CA,CA,3732,5413,182079.166
Los Angeles CA,CA,3733,5414,116100.017
Los Angeles CA,CA,3734,5415,194977.221
Los Angeles CA,CA,3734,5416,6450.058
Los Angeles CA,CA,3734,5417,81.398
Los Angeles CA,CA,3734,5418,5.152
Los Angeles CA,CA,3735,5416,199646.816
Los Angeles CA,CA,3736,5416,6215.136
Los Angeles CA,CA,3736,6103,112005.363
Los Angeles CA,CA,3737,5100,89.641
Los Angeles CA,CA,3737,5300,424.509
Los Angeles CA,CA,3737,6103,31.941
Los Angeles CA,CA,3737,6104,5318.722
Los Angeles CA,CA,3737,6112,126482.962
Los Angeles CA,CA,3738,5100,115632.233
Los Angeles CA,CA,3738,6104,16.486
Los Angeles CA,CA,3738,6109,19741.712
Los Angeles CA,CA,3739,6108,76.247
Los Angeles CA,CA,3739,6110,171461.298
Los Angeles CA,CA,3740,5300,543
Los Angeles CA,CA,3740,6111,131990.24
Los Angeles CA,CA,3741,5300,13.395
Los Angeles CA,CA,3741,6113,145648.701
Los Angeles CA,CA,3741,6114,1980.353
Los Angeles CA,CA,3741,6115,206.072
Los Angeles CA,CA,3742,6114,135781.967
Los Angeles CA,CA,3743,5300,127715.273
Los Angeles CA,CA,3743,6111,56.67
Los Angeles CA,CA,3744,5415,819.137
Los Angeles CA,CA,3744,5416,5801.961
Los Angeles CA,CA,3744,5417,169140.926
Los Angeles CA,CA,3745,5422,125965.72
Los Angeles CA,CA,3746,5415,5.152
Los Angeles CA,CA,3746,5418,112343.321
Los Angeles CA,CA,3746,5422,817.076
Los Angeles CA,CA,3747,5419,163082.405
Los Angeles CA,CA,3748,5420,115299.426
Los Angeles CA,CA,3748,5500,294.683
Los Angeles CA,CA,3748,6125,67567.965
Los Angeles CA,CA,3749,5500,112016.697
Los Angeles CA,CA,3749,6124,5130.166
Los Angeles CA,CA,3750,5421,170556.642
Los Angeles CA,CA,3750,5422,3193.088
Los Angeles CA,CA,3750,5423,4413.035
Los Angeles CA,CA,3751,5421,4978.703
Los Angeles CA,CA,3751,5423,147651.723
Los Angeles CA,CA,3752,6114,3995.739
Los Angeles CA,CA,3752,6115,172357.712
Los Angeles CA,CA,3752,6119,206.072
Los Angeles CA,CA,3753,5900,113537.509
Los Angeles CA,CA,3753,6113,47.397
Los Angeles CA,CA,3754,6000,46.366
Los Angeles CA,CA,3754,6110,3203.392
Los Angeles CA,CA,3754,6117,136879.301
Los Angeles CA,CA,3755,5900,1580.573
Los Angeles CA,CA,3755,6000,108753.545
Los Angeles CA,CA,3755,6116,13758.407
Los Angeles CA,CA,3755,6117,228.74
Los Angeles CA,CA,3755,6118,562.577
Los Angeles CA,CA,3756,6115,42.245
Los Angeles CA,CA,3756,6116,120875.738
Los Angeles CA,CA,3756,6118,6.182
Los Angeles CA,CA,3757,6119,161384.371
Los Angeles CA,CA,3758,5424,11252.57
Los Angeles CA,CA,3758,5600,88.611
Los Angeles CA,CA,3758,6123,147215.88
Los Angeles CA,CA,3758,6124,46.366
Los Angeles CA,CA,3759,5500,700.645
Los Angeles CA,CA,3759,6124,115719.813
Los Angeles CA,CA,3760,6122,142234.086
Los Angeles CA,CA,3761,5424,130.856
Los Angeles CA,CA,3761,5600,129023.831
Los Angeles CA,CA,3762,6120,116247.358
Los Angeles CA,CA,3763,5701,146000.054
Los Angeles CA,CA,3763,6116,2.061
Los Angeles CA,CA,3763,6118,904.657
Los Angeles CA,CA,3763,6120,43.275
Los Angeles CA,CA,3764,6116,209.163
Los Angeles CA,CA,3764,6118,163735.654
Los Angeles CA,CA,3764,7605,2.061
Los Angeles CA,CA,3765,5703,132570.333
Los Angeles CA,CA,3765,6118,1469.294
Los Angeles CA,CA,3765,6121,3.091
Los Angeles CA,CA,3766,5702,105225.589
Los Angeles CA,CA,3766,6121,88.611
Los Angeles CA,CA,3767,5424,180556.293
Los Angeles CA,CA,3767,6120,13.395
Los Angeles CA,CA,3767,6121,2110.179
Los Angeles CA,CA,3767,6123,1.03
Los Angeles CA,CA,3768,5600,20697.886
Los Angeles CA,CA,3768,6121,94137.878
Los Angeles CA,CA,3768,6122,2.061
Los Angeles CA,CA,3769,5702,92314.139
Los Angeles CA,CA,3769,5703,62.852
Los Angeles CA,CA,3769,6121,11344.272
Madera CA,CA,3900,3200,154548
Marin CA,CA,4101,1201,108311.729
Marin CA,CA,4102,1202,152438.271
Mariposa CA,CA,300,1800,17682
Mendocino CA,CA,3300,400,87869
Merced CA,CA,4701,3100,108491.316
Merced CA,CA,4701,3401,444.628
Merced CA,CA,4702,3100,157417.056
Modoc CA,CA,1500,100,9023
Mono CA,CA,300,1800,13997
Monterey CA,CA,5301,3001,127744.468
Monterey CA,CA,5301,3002,54088.306
Monterey CA,CA,5302,2900,153922.934
Monterey CA,CA,5302,3001,2.078
Monterey CA,CA,5302,3002,15682.138
Monterey CA,CA,5303,3002,79904.076
Napa CA,CA,5500,1000,141667
Nevada CA,CA,5700,700,98893
Orange CA,CA,5901,7601,182067.394
Orange CA,CA,5901,7607,3610.271
Orange CA,CA,5902,7602,110668.662
Orange CA,CA,5903,6900,336.471
Orange CA,CA,5903,7300,12241.484
Orange CA,CA,5903,7607,195132.292
Orange CA,CA,5904,6900,2.09
Orange CA,CA,5904,7300,174464.403
Orange CA,CA,5904,7603,34699.358
Orange CA,CA,5904,7607,31.348
Orange CA,CA,5905,6802,11037.712
Orange CA,CA,5905,7300,21057.652
Orange CA,CA,5905,7400,5225.75
Orange CA,CA,5905,7502,7098.285
Orange CA,CA,5905,7603,161911.526
Orange CA,CA,5906,6117,40.753
Orange CA,CA,5906,6802,5485.941
Orange CA,CA,5906,7000,879.84
Orange CA,CA,5906,7604,178555.348
Orange CA,CA,5907,6802,5906.007
Orange CA,CA,5907,7000,139355.429
Orange CA,CA,5907,7604,50902.214
Orange CA,CA,5907,7605,1977.028
Orange CA,CA,5908,6118,13.584
Orange CA,CA,5908,6801,2770.139
Orange CA,CA,5908,7605,183156.223
Orange CA,CA,5909,6801,128903.928
Orange CA,CA,5909,7100,984.334
Orange CA,CA,5909,7605,10432.691
Orange CA,CA,5909,7606,12425.394
Orange CA,CA,5910,6801,58338.014
Orange CA,CA,5910,6802,124406.502
Orange CA,CA,5910,7000,148.382
Orange CA,CA,5910,7400,16226.89
Orange CA,CA,5910,7604,9.404
Orange CA,CA,5911,6802,1993.748
Orange CA,CA,5911,7400,119002.067
Orange CA,CA,5911,7502,1609.209
Orange CA,CA,5911,7603,21517.426
Orange CA,CA,5912,6801,6343.837
Orange CA,CA,5912,7100,20074.363
Orange CA,CA,5912,7200,4644.763
Orange CA,CA,5912,7605,3846.428
Orange CA,CA,5912,7606,139496.496
Orange CA,CA,5913,6801,5029.301
Orange CA,CA,5913,7100,152866.517
Orange CA,CA,5913,7400,1335.435
Orange CA,CA,5913,7501,7327.127
Orange CA,CA,5913,7606,514.111
Orange CA,CA,5914,7200,193695.499
Orange CA,CA,5914,7605,1684.445
Orange CA,CA,5914,7606,3412.777
