cntyname,State,PUMA,Pop10,Pop14
Hartford CT,CT,400,160997,161712.111
Hartford CT,CT,500,112847,113348.24
Hartford CT,CT,600,110787,111279.09
Hartford CT,CT,700,117771,118294.111
Hartford CT,CT,800,124775,125329.221
Tolland CT,CT,900,152691,151367
Windham CT,CT,1000,118428,116998
New London CT,CT,1100,139090,138897.648
New London CT,CT,1200,134965,134778.352
Middlesex CT,CT,1300,165676,164943
New Haven CT,CT,1400,133390,133204.409
New Haven CT,CT,1500,130125,129943.952
New Haven CT,CT,1600,124204,124031.19
New Haven CT,CT,1700,122279,122108.868
New Haven CT,CT,1800,112334,112177.705
New Haven CT,CT,1900,110366,110212.443
New Haven CT,CT,2000,129779,129598.433
Fairfield CT,CT,2100,194747,200823.942
Fairfield CT,CT,2200,213334,219990.936
Fairfield CT,CT,2300,241876,249423.569
Fairfield CT,CT,2400,144229,148729.564
Fairfield CT,CT,2500,122643,126469.988
District of Columbia DC,DC,101,106024,116097.393
District of Columbia DC,DC,102,107613,117837.364
District of Columbia DC,DC,103,123834,135599.53
District of Columbia DC,DC,104,140006,153308.039
District of Columbia DC,DC,105,124246,136050.674
New Castle DE,DE,101,147691,151612.85
New Castle DE,DE,102,127293,130673.192
New Castle DE,DE,103,122898,126161.486
New Castle DE,DE,104,140597,144330.472
Kent DE,DE,200,162310,171987
Sussex DE,DE,300,197145,210849
Escambia FL,FL,101,187227,195430.24
Escambia FL,FL,102,110392,115228.76
Santa Rosa FL,FL,200,151372,163422
Okaloosa FL,FL,300,180822,196512
Holmes FL,FL,400,19927,19650
Jackson FL,FL,400,49746,48801
Walton FL,FL,400,55043,61530
Washington FL,FL,400,24896,24451
Bay FL,FL,500,168852,178985
Calhoun FL,FL,600,14625,14532
Franklin FL,FL,600,11549,11815
Gulf FL,FL,600,15863,15944
Jefferson FL,FL,600,14761,14050
Liberty FL,FL,600,8365,8360
Madison FL,FL,600,19224,18518
Taylor FL,FL,600,22570,22582
Wakulla FL,FL,600,30776,31432
Leon FL,FL,701,190234,196104.256
Gadsden FL,FL,702,46389,46281
Leon FL,FL,702,85253,87883.744
Dixie FL,FL,800,16422,15907
Gilchrist FL,FL,800,16939,16997
Hamilton FL,FL,800,14799,14048
Lafayette FL,FL,800,8870,8835
Levy FL,FL,800,40801,39613
Suwannee FL,FL,800,41551,44022
Baker FL,FL,900,27115,27093
Bradford FL,FL,900,28520,26702
Columbia FL,FL,900,67531,67857
Union FL,FL,900,15535,15190
Alachua FL,FL,1001,112893,117021.005
Alachua FL,FL,1002,134443,139358.995
Duval FL,FL,1101,76672,79638.144
Nassau FL,FL,1101,73314,76619
Duval FL,FL,1102,125990,130864.067
Duval FL,FL,1103,105452,109531.531
Duval FL,FL,1104,131674,136767.959
Duval FL,FL,1105,147995,153720.355
Duval FL,FL,1106,96205,99926.8
Duval FL,FL,1107,180275,187249.144
St. Johns FL,FL,1200,190039,217919
Clay FL,FL,1300,190865,199798
Flagler FL,FL,1400,95696,102408
Putnam FL,FL,1400,74364,72143
Marion FL,FL,1501,120348,123206.509
Marion FL,FL,1502,210950,215960.491
Citrus FL,FL,1600,141234,139375.026
Sumter FL,FL,1600,93420,114350
Citrus FL,FL,1700,2,1.974
Hernando FL,FL,1700,172778,175855
